id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
328,State of Fear,Michael Crichton,0061015733,,3.70,672,75958,2978,Mass Market Paperback,November 1st 2005,Avon
331,Airframe,Michael Crichton,0099556316,,3.70,431,71642,1774,Paperback,2006,Arrow Books
329,The Silkworm,Robert Galbraith,0316206873,(Cormoran Strike #2),4.04,455,188788,15936,Hardcover,June 24th 2014,Mulholland Books
326,The Alienist,Caleb Carr,0812976142,(Dr. Laszlo Kreizler #1),4.06,498,130373,6330,Paperback,October 24th 2006,Random House
325,The Affair,Lee Child,0593065700,(Jack Reacher #16),4.13,427,68151,3765,Hardcover,September 29th 2011,Bantam Press
322,The Camel Club,David Baldacci,,(Camel Club #1),4.04,606,72028,2608,Paperback,September 1st 2006,Warner Vision
327,Then She Was Gone,Lisa Jewell,1501154648,,4.05,359,94527,9698,Hardcover,April 17th 2018,Atria Books
324,Jaws,Peter Benchley,1400064562,(Jaws #1),3.97,320,123543,3028,Hardcover,May 31st 2005,Random House
323,All the Missing Girls,Megan Miranda,,,3.78,384,96959,9067,Kindle Edition,June 28th 2016,Simon & Schuster
330,The Lincoln Lawyer,Michael Connelly,,(Mickey Haller #1),4.16,528,176877,5315,Kindle Edition,October 1st 2005,"Little, Brown and Company"
319,The Dead Zone,Stephen King,0451155750,,3.92,402,156942,3201,Mass Market Paperback,August 1980,Signet/New American Library
316,Mystic River,Dennis Lehane,0060584750,,4.18,416,112629,3372,Paperback,February 1st 2001,William Morrow Paperbacks
320,The Cabinet of Curiosities,Douglas Preston,0446611239,(Pendergast #3),4.26,629,37425,2011,Paperback,June 1st 2003,Warner Books
317,Echo Burning,Lee Child,0515133310,(Jack Reacher #5),4.00,432,60640,2596,Paperback,April 30th 2002,Jove
314,The Hard Way,Lee Child,0385336691,(Jack Reacher #10),4.16,371,55574,2415,Hardcover,May 16th 2006,Delacorte Press
315,The Grownup,Gillian Flynn,0804188971,,3.55,64,78697,9634,Hardcover,November 3rd 2015,Crown
321,The Death of Mrs. Westaway,Ruth Ware,1501156217,,3.82,368,62500,8266,Hardcover,May 29th 2018,Gallery/Scout Press
313,Watchers,Dean Koontz,,,4.17,624,132422,3377,Paperback,January 28th 2003,Berkley
312,Child 44,Tom Rob Smith,0446402397,(Leo Demidov #1),4.09,509,65546,5983,Mass Market Paperback,April 1st 2009,Grand Central Publishing
318,Gone Tomorrow,Lee Child,0593057058,(Jack Reacher #13),4.18,441,78064,2817,Hardcover,April 2009,Transworld Publishers
310,Without Fail,Lee Child,1590860624,(Jack Reacher #6),4.16,14,75433,2195,Audiobook,May 17th 2002,Brilliance Audio
308,The Dry,Jane Harper,,(Aaron Falk #1),4.04,352,110733,11192,Kindle Edition,May 31st 2016,Macmillan Australia
309,The Godfather,Mario Puzo,,(Mario Puzo's Mafia),4.37,448,298513,7350,Paperback,March 1st 2002,NAL
306,Clear and Present Danger,Tom Clancy,0425144372,(Jack Ryan #5),4.10,688,121190,731,Mass Market Paperback,August 1st 1994,Berkley Pub Group
311,Persuader,Lee Child,0440241006,(Jack Reacher #7),4.10,496,58390,2502,Mass Market Paperback,March 25th 2008,Dell
307,Sphere,Michael Crichton,0345418972,,3.79,371,151597,2800,Paperback,June 23rd 1997,Ballantine Books
305,Running Blind,Lee Child,0515130974,(Jack Reacher #4),4.09,512,69664,2981,Paperback,July 1st 2001,Jove
302,The Chalk Man,C.J. Tudor,1524760986,,3.71,280,41150,6487,Hardcover,January 9th 2018,Crown Publishing Group (NY)
301,61 Hours,Lee Child,0385340583,(Jack Reacher #14),4.10,383,63386,3748,Hardcover,May 18th 2010,Delacorte Press
303,Perfume: The Story of a Murderer,Patrick Süskind,0140120831,,4.02,263,275821,12409,Paperback,1987,Penguin Books
299,The Hound of the Baskervilles,Arthur Conan Doyle,0451528018,(Sherlock Holmes #5),4.10,256,214457,6869,Mass Market Paperback,July 1st 2001,Signet
304,The Innocent,David Baldacci,0446572993,(Will Robie #1),4.12,422,75684,4365,Hardcover,April 17th 2012,Grand Central Publishing
295,The Ice Limit,Douglas Preston,2841873900,(Ice Limit #1),3.99,491,17209,684,,,
297,The Leopard,Jo Nesbø,,(Harry Hole #8),4.09,634,39058,2793,,January 1st 2009,
298,The Devil Colony,James Rollins,0061784788,(Sigma Force #7),4.18,480,21285,1115,Hardcover,June 21st 2011,William Morrow
296,The General's Daughter,Nelson DeMille,0446364800,(Paul Brenner #1),4.09,464,56993,683,Paperback,November 1st 1993,Grand Central Publishing
293,Lightning,Dean Koontz,0425192032,,4.07,384,51563,1903,Mass Market Paperback,September 2nd 2003,Berkley
300,Don't Look Back,Jennifer L. Armentrout,1423175123,,4.11,369,25042,3712,Hardcover,April 15th 2014,Disney-Hyperion
292,The Coffin Dancer,Jeffery Deaver,0671024094,(Lincoln Rhyme #2),4.17,532,41074,987,Paperback,March 1st 1999,Pocket Books
291,Revival,Stephen King,1476770387,,3.76,405,85910,9875,Hardcover,November 11th 2014,Scribner Book Company
