id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
188,The Black Prism,Brent Weeks,0316075558,(Lightbringer #1),4.24,629,82803,3950,Hardcover,August 25th 2010,Orbit
189,Caraval,Stephanie Garber,1250095255,(Caraval #1),3.95,407,100035,17837,Hardcover,January 31st 2017,Flatiron Books
190,Sourcery,Terry Pratchett,0061020672,(Discworld #5),3.89,276,70656,1815,Mass Market Paperback,April 2008,Harper
191,A Great and Terrible Beauty,Libba Bray,0689875347,(Gemma Doyle #1),3.79,403,194859,9545,Hardcover,December 9th 2003,Simon and Schuster
192,The House of Hades,Rick Riordan,1423146727,(The Heroes of Olympus #4),4.55,597,219686,13393,Hardcover,October 8th 2013,Disney-Hyperion Books
193,Reaper Man,Terry Pratchett,0552152951,(Discworld #11),4.29,352,73223,2272,Paperback,April 1st 2005,Corgi
194,The Dream Thieves,Maggie Stiefvater,0545424941,(The Raven Cycle #2),4.27,439,117594,14092,Hardcover,September 17th 2013,Scholastic Press
195,Going Postal,Terry Pratchett,0060502932,(Discworld #33),4.38,394,93222,2755,Mass Market Paperback,September 27th 2005,HarperTorch
196,Towers of Midnight,Robert Jordan,0765325942,(The Wheel of Time #13),4.43,863,112448,2694,Hardcover,November 2nd 2010,Tom Doherty Associates TOR Fantasy
197,Beautiful Creatures,Kami Garcia,0316042676,(Beautiful Creatures #1),3.76,563,504065,21634,Hardcover,December 1st 2009,"Little, Brown and Company"
